TotalEarnings,Age,Gender,EconomicStatus,PartnersEconomicStatus,AgeBand,WorkingStatus,HighestEducationalLevel,EmploymentType,SocioEconomicGroup,AnnualNetHouseholdIncome,EmploymentStatus,PropertyType,TotalSavings,CreditCardDebt,LoanDebt,HousingCostMonthly,FinancialHealth,EconomicStat,PartnerEconomicStat,Occupation
0,60,Female,10,NA,56-60,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,390,Are in deep financial trouble,Disabled,NA,Not classified
40000,35,Male,2,3,31-35,Working Couple,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£40001,2,Part rent/part mortgage,No savings,Yes,No,1000,Manage quite well,Full-Time,Part-Time,Lower supervisory and technical occupations
0,21,Female,8,8,21-25,"Couple, neither work",Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,NA,8,Rents (including rents paid by housing benefit),No savings,No,No,650,Manage quite well,Student,Student,Not classified
0,60,Female,5,NA,56-60,Non-Working Single,HNC/HND (SVQ Level 4),9,Inadequately described and not stated,NA,5,Own it outright,"£1,000 or more",Yes,No,NA,Get by alright,Retired,NA,Not classified
39000,33,Female,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,500,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
19000,33,Female,2,NA,16-20,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,£15001 - £20000,8,Rents (including rents paid by housing benefit),No savings,Yes,No,500,Get by alright,Full-Time,NA,Semi-routine occupations
0,56,Male,10,NA,56-60,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,300,Get by alright,Disabled,NA,Not classified
62000,39,Male,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
51000,63,Male,3,2,61-65,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Intermediate non-manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage very well,Part-Time,Full-Time,Lower managerial and professional occupations
0,64,Female,5,NA,61-65,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,£20001 - £25000,5,Rents (including rents paid by housing benefit),No savings,No,No,380,Get by alright,Retired,NA,Not classified
62000,46,Male,2,3,46-50,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,700,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
36000,45,Male,2,2,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,£30001 - £40000,2,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
18000,58,Female,2,NA,56-60,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£15001 - £20000,2,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Full-Time,NA,Semi-routine occupations
50000,23,Female,2,2,21-25,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,Yes,500,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
17000,54,Female,2,NA,51-55,Single Working Adult,NA,6,Semi-skilled manual workers,£15001 - £20000,2,Own it outright,"Less than £1,000",No,No,NA,Manage quite well,Full-Time,NA,Semi-routine occupations
62000,35,Male,2,4,31-35,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£40001,4,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,1000,Manage quite well,Full-Time,Homemaker,Lower supervisory and technical occupations
24000,51,Female,2,NA,51-55,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",No,No,310,Get by alright,Full-Time,NA,Lower managerial and professional occupations
0,39,Male,6,NA,36-40,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£10001 -£15000,6,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,280,Get by alright,Unemployed,NA,Not classified
17000,22,Female,2,NA,21-25,Single Working Adult,Highers and A-Levels (SVQ Level 3),5,Semi-skilled manual workers,£15001 - £20000,2,Living here rent free,"£1,000 or more",Yes,No,NA,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
42000,54,Male,2,2,51-55,Working Couple,Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,300,Get by alright,Full-Time,Full-Time,Intermediate occupations
15000,24,Male,2,NA,21-25,Single Working Adult,No Qualifications,6,Skilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,No,No,450,Don't manage very well,Full-Time,NA,Semi-routine occupations
18000,30,Female,13,6,26-30,"Couple, neither work",No Qualifications,5,Skilled manual workers,£40001,13,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,Yes,380,Get by alright,NA,Unemployed,Lower supervisory and technical occupations
34000,62,Male,2,3,61-65,Working Couple,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£30001 - £40000,2,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Part-Time,Intermediate occupations
0,26,Female,10,NA,26-30,Non-Working Single,No Qualifications,6,Semi-skilled manual workers,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,270,Have some financial difficulties,Disabled,NA,Semi-routine occupations
27000,50,Male,2,6,46-50,"Couple, one works",Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£30001 - £40000,6,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,470,Don't manage very well,Full-Time,Unemployed,Semi-routine occupations
34000,27,Male,2,3,26-30,Working Couple,No Qualifications,7,Skilled manual workers,£30001 - £40000,3,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,650,Get by alright,Full-Time,Part-Time,Routine occupations
13000,25,Male,2,NA,21-25,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,No,No,280,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
56000,42,Male,2,3,41-45,Working Couple,HNC/HND (SVQ Level 4),5,Skilled manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",Yes,No,850,Get by alright,Full-Time,Part-Time,Lower supervisory and technical occupations
35000,30,Male,2,2,36-40,Working Couple,No Qualifications,6,Semi-skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,750,Manage quite well,Full-Time,Full-Time,Semi-routine occupations
40000,63,Male,2,2,61-65,Working Couple,Highers and A-Levels (SVQ Level 3),6,Skilled manual workers,£30001 - £40000,2,Own it outright,Don't know,No,No,NA,Get by alright,Full-Time,Full-Time,Semi-routine occupations
62000,50,Male,1,1,46-50,Working Couple,No Qualifications,4,Own account workers (other than professional),£40001,1,Buying with mortgage/loan,"£1,000 or more",Yes,No,540,Get by alright,Self-Employed,Self-Employed,Small employers and own account workers
43000,56,Male,2,2,51-55,Working Couple,HNC/HND (SVQ Level 4),7,Skilled manual workers,£40001,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,1000,Get by alright,Full-Time,Full-Time,Routine occupations
0,61,Female,5,NA,61-65,Non-Working Single,NA,6,Semi-skilled manual workers,£25001 - £30000,5,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Retired,NA,Semi-routine occupations
31000,30,Male,2,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),3,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,550,Manage very well,Full-Time,NA,Intermediate occupations
45000,45,Male,1,3,41-45,Working Couple,Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£40001,3,Buying with mortgage/loan,"£1,000 or more",No,Yes,1000,Manage quite well,Self-Employed,Part-Time,Small employers and own account workers
20000,29,Female,2,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),5,Semi-skilled manual workers,£20001 - £25000,2,Buying with mortgage/loan,"Less than £1,000",No,No,440,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
47000,53,Male,2,3,46-50,Working Couple,HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£40001,3,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,350,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
62000,47,Male,2,3,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Part-Time,Lower managerial and professional occupations
0,51,Female,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,360,Manage very well,Disabled,NA,Intermediate occupations
38000,56,Male,2,2,51-55,Working Couple,Highers and A-Levels (SVQ Level 3),5,Foremen and supervisors,£30001 - £40000,2,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Full-Time,Full-Time,Lower supervisory and technical occupations
29000,57,Male,1,3,46-50,Working Couple,Highers and A-Levels (SVQ Level 3),1,Professional workers - self-employed,£25001 - £30000,3,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Self-Employed,Part-Time,Higher managerial and professional occupations
30000,59,Male,1,1,56-60,Working Couple,NA,4,Own account workers (other than professional),£25001 - £30000,1,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Self-Employed,Self-Employed,Small employers and own account workers
44000,38,Male,2,NA,36-40,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£40001,2,Buying with mortgage/loan,Refusal,No,No,850,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
24000,51,Male,2,4,51-55,"Couple, one works",No Qualifications,7,Skilled manual workers,£20001 - £25000,4,Buying with mortgage/loan,"£1,000 or more",Yes,No,350,Get by alright,Full-Time,Homemaker,Routine occupations
46000,29,Male,2,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,330,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
62000,51,Male,2,4,51-55,"Couple, one works",HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,600,Manage quite well,Full-Time,Homemaker,Lower managerial and professional occupations
34000,51,Male,1,3,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),4,Farmers - employers and managers,£30001 - £40000,3,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Self-Employed,Part-Time,Small employers and own account workers
26000,55,Male,2,4,51-55,"Couple, one works",No Qualifications,7,Skilled manual workers,£30001 - £40000,4,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Full-Time,Homemaker,Routine occupations
62000,56,Male,2,3,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,3,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Full-Time,Part-Time,Lower managerial and professional occupations
45000,28,Male,2,1,26-30,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Agricultural workers,£40001,1,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,240,Get by alright,Full-Time,Self-Employed,Semi-routine occupations
40000,34,Male,2,3,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",No,No,700,Manage very well,Full-Time,Part-Time,Lower supervisory and technical occupations
50000,44,Male,2,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Junior non-manual workers,£40001,2,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
59000,40,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,500,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
51000,33,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,640,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
49000,49,Male,2,3,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,600,Get by alright,Full-Time,Part-Time,Intermediate occupations
62000,48,Male,1,1,41-45,Working Couple,HNC/HND (SVQ Level 4),2,Own account workers (other than professional),£40001,1,Buying with mortgage/loan,"£1,000 or more",No,No,600,Manage very well,Self-Employed,Self-Employed,Lower managerial and professional occupations
62000,39,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,850,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
47000,34,Male,1,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,900,Manage very well,Self-Employed,Full-Time,Lower managerial and professional occupations
48000,53,Male,2,4,46-50,"Couple, one works",Standard Grade (SVQ Level 1 and 2),2,Intermediate non-manual workers,£40001,4,Buying with mortgage/loan,"£1,000 or more",No,No,500,Get by alright,Full-Time,Homemaker,Lower managerial and professional occupations
62000,28,Male,2,2,26-30,Working Couple,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,670,Manage quite well,Full-Time,Full-Time,Lower supervisory and technical occupations
36000,36,Male,2,3,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),5,Foremen and supervisors,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,610,Manage quite well,Full-Time,Part-Time,Lower supervisory and technical occupations
62000,43,Male,1,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£40001,3,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Self-Employed,Part-Time,Small employers and own account workers
